iter	RMSE	Huber:delta=1.0
0	1242.750588	977.8636274
1	4867.417076	3933.454337
2	3328.831564	2648.821179
3	2745.28074	1805.062816
4	2557.436889	1562.98392
5	2516.983562	1670.707921
6	2073.301935	1106.829078
7	2018.478849	1241.948771
8	1789.401847	1103.962308
9	1621.741557	934.499559
10	1480.058038	827.5286338
11	1593.62804	1067.555093
12	1248.701864	662.8460447
13	1301.446893	746.8591568
14	1190.337228	656.8067108
15	1106.82035	675.7075802
16	908.1045565	451.5890791
17	904.8285621	473.0482043
18	919.4715539	474.9315237
19	887.6926462	425.7228093
20	913.1925828	455.9019322
21	811.0000198	341.93449
22	789.3855643	329.8405778
23	857.1016565	430.068279
24	771.0250467	354.7850369
25	722.7183125	276.9470624
26	723.7718559	278.602153
27	782.4278195	352.8555659
28	711.9285603	274.3935857
29	710.4688431	275.1399297
30	710.7470044	280.1533066
31	740.7298825	317.2924754
32	706.806298	277.5931148
33	688.8417826	232.280738
34	700.6012545	275.5547358
35	691.6838531	271.2199929
36	693.3991701	277.8452043
37	660.6207851	242.4855575
38	669.3504428	260.4616336
39	656.432944	238.2248734
40	657.9611596	244.9911558
41	665.3197417	257.6216892
42	651.6200001	231.3460551
43	651.7450854	233.6672041
44	664.9250542	256.5207489
45	650.5876504	232.4670885
46	648.34372	227.3582863
47	645.4245997	225.5452233
48	642.8689492	215.5257079
49	642.4087032	213.6431908
50	637.9367999	218.7334522
