iter	Passed	Remaining
0	13	26849
1	18	18759
2	29	19878
3	40	20333
4	52	20879
5	63	21164
6	74	21302
7	86	21579
8	98	21710
9	109	21744
10	120	21755
11	131	21789
12	142	21812
13	154	21861
14	165	21861
15	176	21864
16	187	21904
17	198	21907
18	219	22898
19	236	23420
20	250	23587
21	261	23517
22	273	23469
23	284	23416
24	295	23370
25	307	23319
26	318	23276
27	329	23219
28	340	23168
29	352	23139
30	363	23097
31	374	23050
32	386	23050
33	397	23006
34	409	22963
35	420	22950
36	432	22927
37	444	22958
38	456	22941
39	467	22909
40	478	22871
41	490	22862
42	502	22874
43	517	23010
44	533	23179
45	546	23201
46	561	23322
47	574	23364
48	591	23557
49	603	23538
50	614	23494
